"";"fala";"autor";"comentario";"data"
"124";"";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"125";"A instalação da Comissão Parlamentar de Inquérito, em conformidade com os marcos legais, constituiu-se numa excelente oportunidade para realizar-se a radiografia do combate ao covid-19 bem como da estrutura da saúde pública do País visando a enfrentamentos similares no futuro. Decorridos 175 dias, infelizmente, o que se viu foi o uso do Senado Federal para fins menos nobres, com a explícita tentativa de parte...";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"126";"Só um minuto aqui.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"127";"Não está na ordem aqui, Roberto.";"Eduardo Girão";"Pausa.";"26/10/2021"
"128";"... de parte da Comissão, numa postura politiqueira de tentar antecipar o calendário eleitoral de 2022. E variados são os fatores que nos permitem concluir dessa forma.";"Eduardo Girão";"Pausa.";"26/10/2021"
"129";"A CPI, já nos atos de sua instalação, elegeu um Relator com flagrante conflito de interesses, pois seu filho é Governador de um Estado da Federação envolvido nas investigações sobre o Consórcio Nordeste. Foram feitas inúmeras solicitações para que o Relator se declarasse impedido, mas infelizmente estas foram ignoradas, fato que deu origem à impetração até de mandado de segurança, este indeferido pelo Supremo Tribunal Federal.";"Eduardo Girão";"Pausa.";"26/10/2021"
"130";"Em seguida, não houve discussão e aprovação de um plano de trabalho, ficando a organização das atividades da Comissão sem previsibilidade e à mercê das decisões do Relator ou do G7, tornando a CPI, por consequência, parcial e omissa para com todos os fatos determinados nos requerimentos geradores da Comissão.";"Eduardo Girão";"Pausa.";"26/10/2021"
"131";"A simples verificação das atividades desenvolvidas pela CPI ao longo desses 175 dias mostra que o fato determinado do requerimento apresentado pelo Senador Randolfe Rodrigues foi atendido, e o fato determinado pelo requerimento deste Senador que vos fala, Eduardo Girão, foi intencionalmente esquecido. Desta forma, fica claro que a CPI não atendeu aos objetivos propostos, por não considerar os requerimentos apresentados e formalmente apensados por ordem do Presidente do Senado Federal, fato este que descaracteriza o relatório final apresentado pelo Relator.";"Eduardo Girão";"Pausa.";"26/10/2021"
"132";"E, ainda, no bojo dos trabalhos diários, verificou-se constante afronta aos princípios constitucionais de ampla defesa e do contraditório... e do contraditório com...";"Eduardo Girão";"Pausa.";"26/10/2021"
"133";"... com o qual inquirições francamente agressivas, importando as técnicas interrogatórias das antigas delegacias de polícia, de triste memória, negando aos depoentes os princípios básicos insculpidos no direito pátrio.";"Eduardo Girão";"Pausa.";"26/10/2021"
"134";"A quebra indiscriminada de sigilos, sem que a pessoa estivesse sequer na condição de investigada, constituiu-se numa prática comum da Comissão, num flagrante desrespeito aos direitos individuais, cláusula pétrea de nossa Constituição.";"Eduardo Girão";"Pausa.";"26/10/2021"
"135";"Da mesma forma, pudemos constatar uma flagrante perseguição aos profissionais de imprensa que, só por serem conservadores, foram acuados, atormentados, na tentativa de terem suas vozes caladas. Jornalistas e meios de comunicação com grandes serviços prestados à Nação, como Alexandre Garcia, por exemplo, e o Brasil Paralelo, foram aqui citados de forma desrespeitosa, tendo sido criadas verdadeiras ilações sobre a atuação deles nas suas redes, com o intuito de sustentar a narrativa do grupo majoritário da Comissão.";"Eduardo Girão";"Pausa.";"26/10/2021"
"136";"Porém, mais triste e preocupante foi o silêncio de autoridades judiciárias, Parlamentares e parte da mídia, permitindo que tal fato ocorresse, aprovando a teoria popular de que ""os fins justificam os meios"", esquecendo-se de um outro brocardo popular que diz que ""pau que bate em Chico também bate em Francisco"", ou seja, aqueles que fazem ouvidos moucos às quebras dos direitos individuais e às restrições da liberdade de expressão poderão, um dia, sofrer do mesmo procedimento.";"Eduardo Girão";"Pausa.";"26/10/2021"
"137";"Dessa forma, como resultado da CPI, temos a triste constatação de que os médicos sofreram o mais cruel ataque à sua autonomia e os cientistas estão divididos, acuados por uma infeliz politização do tratamento precoce em nome de interesses eleitorais.";"Eduardo Girão";"Pausa.";"26/10/2021"
"138";"Esse quadro foi agravado pela insana postura de alguns políticos e de uma boa parte dos jornalistas que, numa absoluta falta de percepção para entender a sensibilidade do momento vivido, numa crise sanitária jamais vista e com um vírus cujas nuances ainda são totalmente desconhecidas, se lançaram na desastrosa aventura de querer saber mais do que os médicos, contribuindo para a divisão da classe a ponto de atrapalhar o atendimento à sociedade num momento extremamente difícil.";"Eduardo Girão";"Pausa.";"26/10/2021"
"139";"A CPI chega ao fim trazendo a necessidade de aprofundar as investigações quanto à aquisição da vacina Covaxin e ao caso Davati, devendo indiciar todos os envolvidos na tentativa de fraudar o Erário valendo-se do expediente desprezível da corrupção.";"Eduardo Girão";"Pausa.";"26/10/2021"
"140";"Nesse diapasão, a CPI mostrou a necessidade de imediata avaliação das regras de compliance adotadas na administração pública federal, para reduzir a atuação de pessoas físicas e jurídicas despreparadas e sem ligação com o tema em negociação, como ocorreu com a Davati, Instituto Força Brasil, entre outros.";"Eduardo Girão";"Pausa.";"26/10/2021"
"141";"Tentou-se, sem êxito, caracterizar a ocorrência de retardo na aquisição de vacinas, construindo-se uma narrativa de que a existência de um gabinete paralelo mais a adoção do negacionismo seriam os motores da questionável atuação do Governo na pandemia.";"Eduardo Girão";"Pausa.";"26/10/2021"
"142";"Entretanto, a CPI não considerou que os produtores de vacina não tinham a autorização da Anvisa, assim como omitiu que, poucos dias após a aprovação da Anvisa, o Governo as adquiriu.";"Eduardo Girão";"Pausa.";"26/10/2021"
"143";"Ressalto, no entanto, que o Governo Federal agiu, sim, com lentidão para propor ao Congresso Nacional medidas legais que permitissem, com segurança jurídica, a assinatura dos contratos.";"Eduardo Girão";"Pausa.";"26/10/2021"
"144";"Além disso, a decisão do STF quanto às responsabilidades na definição das ações no combate à pandemia, deixando aos Estados e Municípios tal responsabilidade, mostra a falácia de se acusar somente um ente da estrutura federativa como responsável pelos problemas. Somente interesses eleitorais explicam a criação e sustentação desta narrativa.";"Eduardo Girão";"Pausa.";"26/10/2021"
"145";"Na busca de caracterizar um gabinete paralelo no Governo, a CPI deixou de lado a prerrogativa do Presidente da República de se aconselhar com diferentes instituições e entidades. Portanto, não faz sentido quando se considera, por exemplo, que o Ministro das Relações Exteriores é parte de um gabinete paralelo.";"Eduardo Girão";"Pausa.";"26/10/2021"
"146";"Na verdade, o Chanceler faz parte do círculo mais próximo do poder, conforme estrutura legal em vigor, como um servidor do Estado sendo, portanto, de elevada confiança de qualquer elemento que ocupe a Presidência da República.";"Eduardo Girão";"Pausa.";"26/10/2021"
"147";"No entanto, deve-se registrar que a visão estreita do ex-Chanceler Ernesto Araújo quanto à política externa brasileira contribuiu, sim, para o acirramento dos conflitos e a perda da eficácia nas negociações internacionais.";"Eduardo Girão";"Pausa.";"26/10/2021"
"148";"Historicamente, nossa política externa é pragmática e de consenso, procurando a relação pacífica com todas as nações, sem alinhamentos indesejáveis, considerando que governos são temporários e Estados são permanentes.";"Eduardo Girão";"Pausa.";"26/10/2021"
"149";"Mas, ao desviar-se dos objetivos, a CPI deixou de aprofundar a questão da postura em relação à China, a excessiva aproximação com os EUA, a negociação com a Índia e a atuação do Brasil nos fóruns internacionais que tratavam da sensível questão de produção e aquisição de vacinas.";"Eduardo Girão";"Pausa.";"26/10/2021"
"150";"E, neste contexto, cumpre destacar que a postura do Presidente da República poderia ser no sentido de assumir mais plenamente a coordenação das ações, ser mais sensível às perdas doloridas do povo brasileiro, solidarizando-se com os familiares – faltou compaixão. Poderia também dar o exemplo ao incentivar e usar a máscara em público, além de evitar aglomerações e declarações infelizes sobre a vacina.";"Eduardo Girão";"Pausa.";"26/10/2021"
"151";"É bem verdade que a antecipação do pleito eleitoral, marcadamente pelas lamentáveis e desastradas posturas do Governador de São Paulo, contribuiu para as escolhas do Presidente, mas, mesmo neste contexto, foi negativa e condenável a sua atuação.";"Eduardo Girão";"Pausa.";"26/10/2021"
"152";"Era o momento de um discurso de união para a Nação, conclamando todos os brasileiros para o combate ao vírus devastador que ainda assola a nossa sociedade. Era o momento de estar à frente das ações, sem delegar a este ou aquele ministro e dedicar toda a sua atuação ao combate ao vírus.";"Eduardo Girão";"Pausa.";"26/10/2021"
"153";"No entanto, essa postura não foi exclusiva do Presidente da República. Na crise do Amazonas, pudemos confirmar a omissão das autoridades, a endêmica corrupção no sistema de saúde, as históricas deficiências na gestão da saúde do Estado e a falta de coordenação entre os Governos nas diferentes esferas.";"Eduardo Girão";"Pausa.";"26/10/2021"
"154";"A triste crise do Estado do Amazonas revela, no seu âmago, a necessidade de se aperfeiçoar a gestão dos recursos federais disponibilizados aos Estados e Municípios.";"Eduardo Girão";"Pausa.";"26/10/2021"
"155";"E, neste ponto, está o maior equívoco desta Comissão, que entrega à Nação um relatório parcial, incoerente e voltado para o desgaste apenas de um ente federado, com vistas ao pleito eleitoral, sem investigar os desvios ocorridos em Estados e Municípios.";"Eduardo Girão";"Pausa.";"26/10/2021"
"156";"Como ignorar, gente, os desvios do Consórcio Nordeste? Como ignorar a aquisição de respiradores de uma empresa que produz derivados da maconha, bem como da casa de vinhos, brinquedos e que o dinheiro foi parar em casa de massagem?";"Eduardo Girão";"Pausa.";"26/10/2021"
"157";"Assim, com base nos documentos acostados ao longo deste relatório, ficam evidenciadas as irregularidades/fraudes que estão associadas ao contrato firmado pelo Consórcio Nordeste e a empresa HempCare Pharma, na compra de 300 ventiladores pulmonares, que custaram ao Erário o montante superfaturado correspondente a R$48 milhões, pagos antecipadamente...";"Eduardo Girão";"Pausa.";"26/10/2021"
"158";"Omar Aziz. PSD - AM – Só um minutinho, Senador Girão. Pausa.";"Presidente";"c""Omar Aziz. PSD - AM"", ""Pausa.""";"26/10/2021"
"159";"E aí, pessoal, algum problema aí?";"Presidente";"c""Omar Aziz. PSD - AM"", ""Pausa.""";"26/10/2021"
"160";"– Sr. Presidente, apenas para controle, a prorrogação de tempo do Senador Girão...";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"161";"– Pois é, isso que eu ia pedir à Mesa.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"162";"– ... só para poder marcar.";"Alessandro Vieira";"PDT/CIDADANIA/REDE/CIDADANIA - SE";"26/10/2021"
"163";"Omar Aziz. PSD - AM – O Senador Girão já falou por quinze minutos. Ele tem mais cinco minutos. Eu queria que fosse avisado ao Senador, quando ele completasse os quinze minutos, que ele tem mais cinco minutos de tolerância, mas aí eu vi que vocês estavam com problema aí. Precisam da minha ajuda ou não? Pausa.";"Presidente";"c""Omar Aziz. PSD - AM"", ""Pausa.""";"26/10/2021"
"164";"Sem problema, não é?";"Presidente";"c""Omar Aziz. PSD - AM"", ""Pausa.""";"26/10/2021"
"165";"– Posso falar? Posso continuar?";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"166";"– Eu só quero que... O senhor tem mais cinco minutos, Senador.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"167";"– Perfeito. Perfeito. Vou ficar dentro dos cinco minutos.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"168";"... os R$48,7 milhões pagos antecipadamente, com uso de recursos oriundos da União, mas que nunca foram entregues pela empresa contratada.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"169";"Ressalte-se que tal fato durante o estado de calamidade pública em decorrência da pandemia não é apenas um ato covarde de corrupção, mas também de vil assassinato.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"170";"Coerente com a acima exposto, responsabilizar um único ente por mortes e desacertos ocorrido não é justo. As investigações em curso mostram os desvios de bilhões de reais que poderiam ter salvado, sim, inúmeras vidas.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"171";"O Governo Federal não gere sozinho o sistema de saúde brasileiro, mas em conjunto com Estados e Municípios. Como pode, então, sozinho ser responsabilizado? Por que somente investigar a esfera federal? Esta Comissão não foi criada para isso apenas. Numa pandemia sem precedentes em toda a história mundial, como dizer que somente um ente se equivocou?";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"172";"Na verdade, o que vimos ao longo de 175 dias de funcionamento da CPI foi muita injustiça cometida e isto é contraditório com a compaixão que se fala aqui todos os dias, já que o ódio aprisiona e cega, não combina com humanidade. De fato, a população quer justiça, sim, mas não quer justiceiros.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"173";"Assim, quero dizer que essa é a minha primeira experiência como membro de uma CPI e que depois de participar de todas as sessões, sou grato à Deus e a todos vocês por poder ter aprendido muito aqui.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"174";"Quero dizer que, mesmo com uma pandemia como essa, de proporção mundial e que trouxe tanta dor e sofrimento na vida de tanta gente – fica meu sentimento de solidariedade –, sabemos que tudo está sob as leis divinas, sob o controle das leis divinas, que são perfeitamente justas e infinitamente amorosas.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"175";"Importante lembrar que uma provação planetária como essa deveria servir para a humanidade como uma oportunidade de melhoria coletiva, avançando na solidariedade e no respeito à vida.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"176";"Eu concluo, Sr. Presidente, fazendo aqui a exposição do meu voto, porque eu estou pedindo... A minha tese também é pelo aprofundamento das investigações pela Procuradoria-Geral da República da possibilidade de ocorrência de crime de prevaricação pela Mesa Diretora desta Comissão Parlamentar de Inquérito, tudo conforme previsto no art. 319 do Código Penal Brasileiro.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"177";"Eu posso asseverar que, ao fazer esse voto em separado, continuo com a paz perante a minha consciência e perante Jesus, por estar fazendo a minha parte, apontando as verdadeiras causas que trouxeram tanta dor e sofrimento ao povo brasileiro.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
"178";"O meu voto.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE";"26/10/2021"
